,time,thscode,latest
0,2023-07-28 09:44:03,688599.SH,36.5
1,2023-07-28 09:44:01,688111.SH,404.83
2,2023-07-28 09:44:03,603986.SH,112.33
3,2023-07-28 09:44:03,603799.SH,48.67
4,2023-07-28 09:44:02,603501.SH,100.25
5,2023-07-28 09:44:02,603288.SH,44.74
6,2023-07-28 09:44:02,603260.SH,69.74
7,2023-07-28 09:44:01,603259.SH,67.73
8,2023-07-28 09:44:03,601919.SH,9.81
9,2023-07-28 09:44:02,601899.SH,12.63
10,2023-07-28 09:44:03,601888.SH,121.58
11,2023-07-28 09:44:01,601857.SH,7.82
12,2023-07-28 09:44:01,601728.SH,5.62
13,2023-07-28 09:44:01,601669.SH,5.76
14,2023-07-28 09:44:01,601668.SH,5.8
15,2023-07-28 09:44:02,601633.SH,25.77
16,2023-07-28 09:44:01,601628.SH,34.81
17,2023-07-28 09:44:03,601398.SH,4.67
18,2023-07-28 09:44:02,601390.SH,7.38
19,2023-07-28 09:44:02,601318.SH,49.77
20,2023-07-28 09:44:03,601288.SH,3.53
21,2023-07-28 09:44:02,601225.SH,16.29
22,2023-07-28 09:44:01,601166.SH,16.0
23,2023-07-28 09:44:01,601088.SH,28.22
24,2023-07-28 09:44:01,601066.SH,25.18
25,2023-07-28 09:44:03,601012.SH,28.58
26,2023-07-28 09:44:02,600905.SH,5.29
27,2023-07-28 09:44:01,600900.SH,21.22
28,2023-07-28 09:44:02,600893.SH,39.85
29,2023-07-28 09:44:01,600887.SH,27.83
30,2023-07-28 09:44:03,600809.SH,234.99
31,2023-07-28 09:44:02,600745.SH,44.16
32,2023-07-28 09:44:03,600690.SH,23.85
33,2023-07-28 09:44:01,600519.SH,1844.44
34,2023-07-28 09:44:03,600438.SH,34.01
35,2023-07-28 09:44:02,600436.SH,280.41
36,2023-07-28 09:44:03,600406.SH,23.6
37,2023-07-28 09:44:03,600309.SH,95.4
38,2023-07-28 09:44:03,600276.SH,47.93
39,2023-07-28 09:44:02,600196.SH,31.13
40,2023-07-28 09:44:03,600111.SH,23.83
41,2023-07-28 09:44:03,600104.SH,14.59
42,2023-07-28 09:44:02,600089.SH,16.08
43,2023-07-28 09:44:03,600050.SH,5.08
44,2023-07-28 09:44:02,600048.SH,13.87
45,2023-07-28 09:44:01,600036.SH,33.58
46,2023-07-28 09:44:03,600031.SH,17.32
47,2023-07-28 09:44:01,600030.SH,21.8
48,2023-07-28 09:44:01,600028.SH,6.17
49,2023-07-28 09:44:01,600010.SH,1.88
